Manitoba | Brandon
Northern BC | Mt Royal
Calgary | Regina
UBC-Okanagan | Trinity Western
Brit Columbia | Saskatchewan
Thompson Riv | Fraser Val
Voorhees | Wilberforce
George Brown | Algonquin
Humber | Mohawk
Lethbridge Col | Medicine Hat
N Alberta Tech | Grande Prairie
Concordia AB | Keyano
Lakeland AB | Augustana AB
Red Deer | St Marys AB
Ambrose | Olds
Florida Col | Welch
Governors St | East-West
Brebeuf | Sainte-Foy
Dawson | John Abbott
Bishops | Memorial
St Lambert | Outaouais
Vanier | Ed Montpetit
Bethel IN | Siena Hts
Life | Reinhardt
Cincinnati Chr | IN S Bend
Midland NE | Col Ozarks
Holy Cross IN | MI Dearborn
Indiana NW | Judson IL
N New Mexico | Ottawa AZ
Spring Arbor | Aquinas
IN Wesleyan | Cornerstone
Dordt | Waldorf
Edward Waters | FL Memorial
Hastings | York NE
Midway | Silver Lake
TN Wesleyan | Rust
Cal Maritime | Eastern Oregon
Friends | Bellevue
Bethany KS | Mt Marty
Wm Woods | Bethel KS
Huntington | Concordia MI
Goshen | Lincoln Chr
Harris-Stowe | Lindsey Wilson
IU Kokomo | Trinity Chr
Marian IN | Ohio Chr
Wilberforce | Allen
Asbury | Central Penn
Corban | Capilano
MT St Northern | Salish Kootenai
Northwest WA | New Hope Chr
Northwestern IA | Oak Hills Chr
Pikeville | Florida National
Wm Jessup | W Coast Bap
Oregon Tech | Northwest Indian
Mt Vernon Naz | Indiana Tech
Cumberland TN | Fisk
Graceland | Haskell
Keiser | Virgin Islands
Lincoln Col | St Xavier IL
Vancouver Island | Northwest Chr
McMaster | Windsor
Alberta | Grant MacEwan
Victoria | Winnipeg
Dalhousie | Laurentian
Lakehead | Algoma
Brock | Guelph
Laurier | Western ON
Brandon | Manitoba
Northern BC | Mt Royal
Calgary | Regina
Saskatchewan | Brit Columbia
UBC-Okanagan | Trinity Western
Fraser Val | Thompson Riv
Ave Maria | Toccoa Falls
Fanshawe | Conestoga
George Brown | La Cite
St Clair | Redeemer
Sheridan ON | Sault
Loyalist | Georgian
Holland | St Thomas NB
Grande Prairie | N Alberta Tech
Concordia AB | Keyano
Ambrose | Olds
Augustana AB | Lakeland AB
Oakwood | Bryan
Calumet-St Jos | East-West
Dalton St | Selma AL
Talladega | Carver Bib
Columbia Intl | Piedmont Bap
Madonna | Great Lakes Chr
